week_start,week_end,week,month,year,theft,population_rate,education_rate,poverty_rate,inflation_rate,unemployment_rate,gdp,cpi
13/04/2020,19/04/2020,3,April,2020,507,0.03,37.5,12,1.2,18.1,-2.2,-0.94414
20/04/2020,26/04/2020,4,April,2020,573,0.03,37.5,12,1.2,18.1,-2.2,-0.94414
27/04/2020,03/05/2020,5,April,2020,572,0.03,37.5,12,1.2,18.1,-2.2,-0.94414
04/05/2020,10/05/2020,1,May,2020,595,0.03,37.5,12,1.2,14.7,-2.2,0.951058
11/05/2020,17/05/2020,2,May,2020,594,0.03,37.5,12,1.2,14.7,-2.2,0.951058
18/05/2020,24/05/2020,3,May,2020,604,0.03,37.5,12,1.2,14.7,-2.2,0.951058
25/05/2020,31/05/2020,4,May,2020,625,0.03,37.5,12,1.2,14.7,-2.2,0.951058
01/06/2020,07/06/2020,1,June,2020,562,0.03,37.5,12,1.2,12.6,-2.2,0.339996
08/06/2020,14/06/2020,2,June,2020,641,0.03,37.5,12,1.2,12.6,-2.2,0.339996
15/06/2020,21/06/2020,3,June,2020,710,0.03,37.5,12,1.2,12.6,-2.2,0.339996
22/06/2020,28/06/2020,4,June,2020,715,0.03,37.5,12,1.2,12.6,-2.2,0.339996
29/06/2020,05/07/2020,1,July,2020,752,0.03,37.5,12,1.2,11.4,-2.2,-1.27775
06/07/2020,12/07/2020,2,July,2020,757,0.03,37.5,12,1.2,11.4,-2.2,-1.27775
13/07/2020,19/07/2020,3,July,2020,773,0.03,37.5,12,1.2,11.4,-2.2,-1.27775
20/07/2020,26/07/2020,4,July,2020,760,0.03,37.5,12,1.2,11.4,-2.2,-1.27775
27/07/2020,02/08/2020,5,July,2020,750,0.03,37.5,12,1.2,11.4,-2.2,-1.27775
03/08/2020,09/08/2020,1,August,2020,765,0.03,37.5,12,1.2,9.7,-2.2,1.654574
10/08/2020,16/08/2020,2,August,2020,758,0.03,37.5,12,1.2,9.7,-2.2,1.654574
17/08/2020,23/08/2020,3,August,2020,842,0.03,37.5,12,1.2,9.7,-2.2,1.654574
24/08/2020,30/08/2020,4,August,2020,884,0.03,37.5,12,1.2,9.7,-2.2,1.654574
31/08/2020,06/09/2020,1,September,2020,832,0.03,37.5,12,1.2,9,-2.2,0.574607
07/09/2020,13/09/2020,2,September,2020,808,0.03,37.5,12,1.2,9,-2.2,0.574607
14/09/2020,20/09/2020,3,September,2020,758,0.03,37.5,12,1.2,9,-2.2,0.574607
21/09/2020,27/09/2020,4,September,2020,765,0.03,37.5,12,1.2,9,-2.2,0.574607
28/09/2020,04/10/2020,1,October,2020,706,0.03,37.5,12,1.2,8.1,-2.2,0.574607
05/10/2020,11/10/2020,2,October,2020,753,0.03,37.5,12,1.2,8.1,-2.2,0.574607
12/10/2020,18/10/2020,3,October,2020,770,0.03,37.5,12,1.2,8.1,-2.2,0.574607
19/10/2020,25/10/2020,4,October,2020,669,0.03,37.5,12,1.2,8.1,-2.2,0.574607
26/10/2020,01/11/2020,5,October,2020,755,0.03,37.5,12,1.2,8.1,-2.2,0.574607
02/11/2020,08/11/2020,1,November,2020,671,0.03,37.5,12,1.2,7.8,-2.2,-0.39661
09/11/2020,15/11/2020,2,November,2020,629,0.03,37.5,12,1.2,7.8,-2.2,-0.39661
16/11/2020,22/11/2020,3,November,2020,671,0.03,37.5,12,1.2,7.8,-2.2,-0.39661
23/11/2020,29/11/2020,4,November,2020,557,0.03,37.5,12,1.2,7.8,-2.2,-0.39661
30/11/2020,06/12/2020,1,December,2020,707,0.03,37.5,12,1.2,7.6,-2.2,-0.15331
07/12/2020,13/12/2020,2,December,2020,640,0.03,37.5,12,1.2,7.6,-2.2,-0.15331
14/12/2020,20/12/2020,3,December,2020,623,0.03,37.5,12,1.2,7.6,-2.2,-0.15331
21/12/2020,27/12/2020,4,December,2020,554,0.03,37.5,12,1.2,7.6,-2.2,-0.15331
28/12/2020,03/01/2021,5,December,2020,475,0.03,37.5,12,1.2,7.6,-2.2,-0.15331
04/01/2021,10/01/2021,1,January,2021,639,0.14,20.8,12.1,4.7,7.2,5.8,0.72594
11/01/2021,17/01/2021,2,January,2021,635,0.14,20.8,12.1,4.7,7.2,5.8,0.72594
18/01/2021,24/01/2021,3,January,2021,617,0.14,20.8,12.1,4.7,7.2,5.8,0.72594
25/01/2021,31/01/2021,4,January,2021,553,0.14,20.8,12.1,4.7,7.2,5.8,0.72594
01/02/2021,07/02/2021,1,February,2021,505,0.14,20.8,12.1,4.7,7,5.8,0.560551
08/02/2021,14/02/2021,2,February,2021,529,0.14,20.8,12.1,4.7,7,5.8,0.560551
15/02/2021,21/02/2021,3,February,2021,451,0.14,20.8,12.1,4.7,7,5.8,0.560551
22/02/2021,28/02/2021,4,February,2021,640,0.14,20.8,12.1,4.7,7,5.8,0.560551
01/03/2021,07/03/2021,1,March ,2021,662,0.14,20.8,12.1,4.7,6.8,5.8,0.645547
08/03/2021,14/03/2021,2,March ,2021,609,0.14,20.8,12.1,4.7,6.8,5.8,0.645547
15/03/2021,21/03/2021,3,March ,2021,571,0.14,20.8,12.1,4.7,6.8,5.8,0.645547
22/03/2021,28/03/2021,4,March ,2021,620,0.14,20.8,12.1,4.7,6.7,5.8,0.645547
29/03/2021,04/04/2021,1,April,2021,676,0.14,20.8,12.1,4.7,6.7,5.8,1.006892
05/04/2021,11/04/2021,2,April,2021,620,0.14,20.8,12.1,4.7,6.7,5.8,1.006892
12/04/2021,18/04/2021,3,April,2021,628,0.14,20.8,12.1,4.7,6.7,5.8,1.006892
19/04/2021,25/04/2021,4,April,2021,643,0.14,20.8,12.1,4.7,6.5,5.8,1.006892
26/04/2021,02/05/2021,5,April,2021,714,0.14,20.8,12.1,4.7,6.5,5.8,1.006892
03/05/2021,09/05/2021,1,May,2021,679,0.14,20.8,12.1,4.7,6.5,5.8,0.971407
10/05/2021,16/05/2021,2,May,2021,770,0.14,20.8,12.1,4.7,6.5,5.8,0.971407
17/05/2021,23/05/2021,3,May,2021,785,0.14,20.8,12.1,4.7,6.5,5.8,0.971407
24/05/2021,30/05/2021,4,May,2021,768,0.14,20.8,12.1,4.7,6.5,5.8,0.971407
31/05/2021,06/06/2021,1,June,2021,784,0.14,20.8,12.1,4.7,6.4,5.8,0.409555
07/06/2021,13/06/2021,2,June,2021,853,0.14,20.8,12.1,4.7,6.4,5.8,0.409555
14/06/2021,20/06/2021,3,June,2021,791,0.14,20.8,12.1,4.7,6.4,5.8,0.409555
21/06/2021,27/06/2021,4,June,2021,800,0.14,20.8,12.1,4.7,6.4,5.8,0.409555
28/06/2021,04/07/2021,1,July,2021,837,0.14,20.8,12.1,4.7,6.4,5.8,0.374548
05/07/2021,11/07/2021,2,July,2021,713,0.14,20.8,12.1,4.7,6.4,5.8,0.374548
12/07/2021,18/07/2021,3,July,2021,819,0.14,20.8,12.1,4.7,6.4,5.8,0.374548
19/07/2021,25/07/2021,4,July,2021,869,0.14,20.8,12.1,4.7,5.9,5.8,0.374548
26/07/2021,01/08/2021,5,July,2021,1180,0.14,20.8,12.1,4.7,5.9,5.8,0.374548
02/08/2021,08/08/2021,1,August,2021,801,0.14,20.8,12.1,4.7,5.9,5.8,0.058219
09/08/2021,15/08/2021,2,August,2021,802,0.14,20.8,12.1,4.7,5.9,5.8,0.058219
16/08/2021,22/08/2021,3,August,2021,919,0.14,20.8,12.1,4.7,5.9,5.8,0.058219
23/08/2021,29/08/2021,4,August,2021,921,0.14,20.8,12.1,4.7,5.5,5.8,0.058219
30/08/2021,05/09/2021,1,September,2021,935,0.14,20.8,12.1,4.7,5.5,5.8,0.313576
06/09/2021,12/09/2021,2,September,2021,854,0.14,20.8,12.1,4.7,5.5,5.8,0.313576
13/09/2021,19/09/2021,3,September,2021,936,0.14,20.8,12.1,4.7,5.5,5.8,0.313576
20/09/2021,26/09/2021,4,September,2021,958,0.14,20.8,12.1,4.7,5.2,5.8,0.313576
27/09/2021,03/10/2021,5,September,2021,1022,0.14,20.8,12.1,4.7,5.2,5.8,0.313576
04/10/2021,10/10/2021,1,October,2021,892,0.14,20.8,12.1,4.7,5.2,5.8,0.677356
11/10/2021,17/10/2021,2,October,2021,930,0.14,20.8,12.1,4.7,5.2,5.8,0.677356
18/10/2021,24/10/2021,3,October,2021,932,0.14,20.8,12.1,4.7,5.2,5.8,0.677356
25/10/2021,31/10/2021,4,October,2021,986,0.14,20.8,12.1,4.7,5,5.8,0.677356
01/11/2021,07/11/2021,1,November,2021,883,0.14,20.8,12.1,4.7,5,5.8,0.24476
08/11/2021,14/11/2021,2,November,2021,949,0.14,20.8,12.1,4.7,5,5.8,0.24476
15/11/2021,21/11/2021,3,November,2021,889,0.14,20.8,12.1,4.7,5,5.8,0.24476
22/11/2021,28/11/2021,4,November,2021,821,0.14,20.8,12.1,4.7,4.8,5.8,0.24476
29/11/2021,05/12/2021,1,December,2021,953,0.14,20.8,12.1,4.7,4.8,5.8,0.429694
06/12/2021,12/12/2021,2,December,2021,899,0.14,20.8,12.1,4.7,4.8,5.8,0.429694
13/12/2021,19/12/2021,3,December,2021,939,0.14,22.6,12.1,4.7,4.8,5.8,0.429694
20/12/2021,26/12/2021,4,December,2021,793,0.27,22.6,11.9,8,4.7,1.9,0.429694
27/12/2021,02/01/2022,15,December,2021,759,0.27,22.6,11.9,8,4.7,1.9,0.429694
03/01/2022,09/01/2022,1,January,2022,705,0.27,22.6,11.9,8,4.7,1.9,0.907178
10/01/2022,16/01/2022,2,January,2022,840,0.27,22.6,11.9,8,4.7,1.9,0.907178
17/01/2022,23/01/2022,3,January,2022,806,0.27,22.6,11.9,8,4.7,1.9,0.907178
24/01/2022,30/01/2022,4,January,2022,720,0.27,22.6,11.9,8,4.7,1.9,0.907178
31/01/2022,06/02/2022,1,February,2022,755,0.27,22.6,11.9,8,4.7,1.9,0.798538
07/02/2022,13/02/2022,2,February,2022,899,0.27,22.6,11.9,8,4.7,1.9,0.798538
14/02/2022,20/02/2022,3,February,2022,789,0.27,22.6,11.9,8,4.6,1.9,0.798538
21/02/2022,27/02/2022,4,February,2022,881,0.27,22.6,11.9,8,4.6,1.9,0.798538
28/02/2022,06/03/2022,1,March ,2022,962,0.27,22.6,11.9,8,4.6,1.9,1.355219
07/03/2022,13/03/2022,2,March ,2022,897,0.27,22.6,11.9,8,4.6,1.9,1.355219
14/03/2022,20/03/2022,3,March ,2022,996,0.27,22.6,11.9,8,4.6,1.9,1.355219
21/03/2022,27/03/2022,4,March ,2022,910,0.27,22.6,11.9,8,4.5,1.9,1.355219
28/03/2022,03/04/2022,5,March ,2022,918,0.27,22.6,11.9,8,4.5,1.9,1.355219
04/04/2022,10/04/2022,1,April,2022,753,0.27,22.6,11.9,8,4.5,1.9,2.192112
11/04/2022,17/04/2022,2,April,2022,855,0.27,22.6,11.9,8,4.5,1.9,2.192112
18/04/2022,24/04/2022,3,April,2022,973,0.27,22.6,11.9,8,4.5,1.9,2.192112
25/04/2022,01/05/2022,4,April,2022,977,0.27,22.6,11.9,8,4.5,1.9,2.192112
02/05/2022,08/05/2022,1,May,2022,936,0.27,22.6,11.9,8,4.5,1.9,-1.72511
09/05/2022,15/05/2022,2,May,2022,1043,0.27,22.6,11.9,8,4.5,1.9,-1.72511
16/05/2022,22/05/2022,3,May,2022,1097,0.27,22.6,11.9,8,4.5,1.9,-1.72511
23/05/2022,29/05/2022,4,May,2022,979,0.27,22.6,11.9,8,4.5,1.9,-1.72511
30/05/2022,05/06/2022,1,June,2022,1094,0.27,22.6,11.9,8,4.5,1.9,1.268315
06/06/2022,12/06/2022,2,June,2022,1140,0.27,22.6,11.9,8,4.5,1.9,1.268315
13/06/2022,19/06/2022,3,June,2022,1171,0.27,22.6,11.9,8,4.5,1.9,1.268315
20/06/2022,26/06/2022,4,June,2022,1234,0.27,22.6,11.9,8,4.5,1.9,1.268315
27/06/2022,03/07/2022,5,June,2022,1193,0.27,22.6,11.9,8,4.5,1.9,1.268315
04/07/2022,10/07/2022,1,July,2022,1129,0.27,22.6,11.9,8,4.5,1.9,-0.16884
11/07/2022,17/07/2022,2,July,2022,1268,0.27,22.6,11.9,8,4.5,1.9,-0.16884
18/07/2022,24/07/2022,3,July,2022,1234,0.27,22.6,11.9,8,4.5,1.9,-0.16884
25/07/2022,31/07/2022,4,July,2022,1614,0.27,22.6,11.9,8,4.5,1.9,-0.16884
01/08/2022,07/08/2022,1,August,2022,1214,0.27,22.6,11.9,8,4.5,1.9,0.051567
08/08/2022,14/08/2022,2,August,2022,1182,0.27,22.6,11.9,8,4.5,1.9,0.051567
15/08/2022,21/08/2022,3,August,2022,1007,0.27,22.6,11.9,8,4.5,1.9,0.051567
22/08/2022,28/08/2022,4,August,2022,1191,0.27,22.6,11.9,8,4.6,1.9,0.051567
29/08/2022,04/09/2022,1,September,2022,1197,0.27,22.6,11.9,8,4.6,1.9,0.207602
05/09/2022,11/09/2022,2,September,2022,1246,0.27,22.6,11.9,8,4.6,1.9,0.207602
12/09/2022,18/09/2022,3,September,2022,1131,0.27,22.6,11.9,8,4.6,1.9,0.207602
19/09/2022,25/09/2022,4,September,2022,1196,0.27,22.6,11.9,8,4.6,1.9,0.207602
26/09/2022,02/10/2022,5,September,2022,1212,0.27,22.6,11.9,8,4.6,1.9,0.207602
03/10/2022,09/10/2022,1,October,2022,1175,0.27,22.6,11.9,8,4.6,1.9,0.138474
10/10/2022,16/10/2022,2,October,2022,1162,0.27,22.6,11.9,8,4.6,1.9,0.138474
17/10/2022,23/10/2022,3,October,2022,1065,0.27,22.6,11.9,8,4.6,1.9,0.138474
24/10/2022,30/10/2022,4,October,2022,1190,0.27,22.6,11.9,8,4.6,1.9,0.138474
31/10/2022,06/11/2022,1,November,2022,1239,0.27,22.6,11.9,8,4.6,1.9,-0.55816
07/11/2022,13/11/2022,2,November,2022,1121,0.27,22.6,11.9,8,4.6,1.9,-0.55816
14/11/2022,20/11/2022,3,November,2022,1054,0.27,22.6,11.9,8,4.6,1.9,-0.55816
21/11/2022,27/11/2022,4,November,2022,1000,0.27,22.6,11.9,8,4.5,1.9,-0.55816
28/11/2022,04/12/2022,1,December,2022,1107,0.27,22.6,11.9,8,4.5,1.9,-0.82496
05/12/2022,11/12/2022,2,December,2022,1139,0.27,22.6,11.9,8,4.5,1.9,-0.82496
12/12/2022,18/12/2022,3,December,2022,1087,0.27,38.3,11.9,8,4.5,1.9,-0.82496
19/12/2022,25/12/2022,4,December,2022,841,0.4,38.3,11.6,4.1,4.4,2.5,-0.82496
26/12/2022,01/01/2023,5,December,2022,853,0.4,38.3,11.6,4.1,4.4,2.5,-0.82496
02/01/2023,08/01/2023,1,January,2023,934,0.4,38.3,11.6,4.1,4.4,2.5,0.875892737
09/01/2023,15/01/2023,2,January,2023,1050,0.4,38.3,11.6,4.1,4.4,2.5,0.875892737
16/01/2023,22/01/2023,3,January,2023,1030,0.4,38.3,11.6,4.1,4.4,2.5,0.875892737
23/01/2023,29/01/2023,4,January,2023,937,0.4,38.3,11.6,4.1,4.4,2.5,0.875892737
30/01/2023,05/02/2023,1,February,2023,919,0.4,38.3,11.6,4.1,4.3,2.5,0.359590154
06/02/2023,12/02/2023,2,February,2023,1036,0.4,38.3,11.6,4.1,4.3,2.5,0.359590154
13/02/2023,19/02/2023,3,February,2023,974,0.4,38.3,11.6,4.1,4.3,2.5,0.359590154
20/02/2023,26/02/2023,4,February,2023,880,0.4,38.3,11.6,4.1,4.3,2.5,0.359590154
27/02/2023,05/03/2023,1,March,2023,935,0.4,38.3,11.6,4.1,4.2,2.5,0.827763348
06/03/2023,12/03/2023,2,March,2023,986,0.4,38.3,11.6,4.1,4.2,2.5,0.827763348
13/03/2023,19/03/2023,3,March,2023,956,0.4,38.3,11.6,4.1,4.2,2.5,0.827763348
20/03/2023,26/03/2023,4,March,2023,1058,0.4,38.3,11.6,4.1,4.2,2.5,0.827763348
27/03/2023,02/04/2023,5,March,2023,1080,0.4,38.3,11.6,4.1,4.2,2.5,0.827763348
03/04/2023,09/04/2023,1,April,2023,958,0.4,38.3,11.6,4.1,4.2,2.5,0.764952066
10/04/2023,16/04/2023,2,April,2023,1012,0.4,38.3,11.6,4.1,4.2,2.5,0.764952066
17/04/2023,23/04/2023,3,April,2023,1079,0.4,38.3,11.6,4.1,4.2,2.5,0.764952066
24/04/2023,30/04/2023,4,April,2023,1030,0.4,38.3,11.6,4.1,4.2,2.5,0.764952066
01/05/2023,07/05/2023,1,May,2023,994,0.4,38.3,11.6,4.1,4.2,2.5,0.35124618
08/05/2023,14/05/2023,2,May,2023,1123,0.4,38.3,11.6,4.1,4.2,2.5,0.35124618
15/05/2023,21/05/2023,3,May,2023,1096,0.4,38.3,11.6,4.1,4.2,2.5,0.35124618
22/05/2023,28/05/2023,4,May,2023,1095,0.4,38.3,11.6,4.1,4.2,2.5,0.35124618
29/05/2023,04/06/2023,1,June,2023,1108,0.4,38.3,11.6,4.1,4.3,2.5,0.074801969
05/06/2023,11/06/2023,2,June,2023,1149,0.4,38.3,11.6,4.1,4.3,2.5,0.074801969
12/06/2023,18/06/2023,3,June,2023,1180,0.4,38.3,11.6,4.1,4.3,2.5,0.074801969
19/06/2023,25/06/2023,4,June,2023,1258,0.4,38.3,11.6,4.1,4.3,2.5,0.074801969
26/06/2023,02/07/2023,5,June,2023,1170,0.4,38.3,11.6,4.1,4.3,2.5,0.074801969
03/07/2023,09/07/2023,1,July,2023,1052,0.4,38.3,11.6,4.1,4.4,2.5,-0.034904998
10/07/2023,16/07/2023,2,July,2023,1230,0.4,38.3,11.6,4.1,4.4,2.5,-0.034904998
17/07/2023,23/07/2023,3,July,2023,1225,0.4,38.3,11.6,4.1,4.4,2.5,-0.034904998
24/07/2023,30/07/2023,4,July,2023,1163,0.4,38.3,11.6,4.1,4.4,2.5,-0.034904998
31/07/2023,06/08/2023,1,August,2023,1439,0.4,38.3,11.6,4.1,4.6,2.5,0.151307807
07/08/2023,13/08/2023,2,August,2023,1194,0.4,38.3,11.6,4.1,4.6,2.5,0.151307807
14/08/2023,20/08/2023,3,August,2023,1161,0.4,38.3,11.6,4.1,4.6,2.5,0.151307807
21/08/2023,27/08/2023,4,August,2023,1150,0.4,38.3,11.6,4.1,4.6,2.5,0.151307807
28/08/2023,03/09/2023,5,August,2023,1242,0.4,38.3,11.6,4.1,4.6,2.5,0.151307807
04/09/2023,10/09/2023,1,September,2023,1151,0.4,38.3,11.6,4.1,4.7,2.5,-13.95140814
11/09/2023,17/09/2023,2,September,2023,1072,0.4,38.3,11.6,4.1,4.7,2.5,-13.95140814
18/09/2023,24/09/2023,3,September,2023,1087,0.4,38.3,11.6,4.1,4.7,2.5,-13.95140814
25/09/2023,01/10/2023,4,September,2023,1241,0.4,38.3,11.6,4.1,4.7,2.5,-13.95140814
02/10/2023,08/10/2023,1,October,2023,1204,0.4,38.3,11.6,4.1,4.8,2.5,16.72662386
09/10/2023,15/10/2023,2,October,2023,1157,0.4,38.3,11.6,4.1,4.8,2.5,16.72662386
16/10/2023,22/10/2023,3,October,2023,1137,0.4,38.3,11.6,4.1,4.8,2.5,16.72662386
23/10/2023,29/10/2023,4,October,2023,1179,0.4,38.3,11.6,4.1,4.8,2.5,16.72662386
30/10/2023,05/11/2023,1,November,2023,1183,0.4,38.3,11.6,4.1,4.7,2.5,-0.474035013
06/11/2023,12/11/2023,2,November,2023,1134,0.4,38.3,11.6,4.1,4.7,2.5,-0.474035013
13/11/2023,19/11/2023,3,November,2023,1108,0.4,38.3,11.6,4.1,4.7,2.5,-0.474035013
20/11/2023,26/11/2023,4,November,2023,1040,0.4,38.3,11.6,4.1,4.7,2.5,-0.474035013
27/11/2023,03/12/2023,5,November,2023,1187,0.4,38.3,11.6,4.1,4.7,2.5,-0.474035013
04/12/2023,10/12/2023,1,December,2023,1144,0.4,38.3,11.6,4.1,4.7,2.5,-0.03487647
11/12/2023,17/12/2023,2,December,2023,1156,0.4,38.3,11.6,4.1,4.7,2.5,-0.03487647
18/12/2023,24/12/2023,3,December,2023,1274,0.4,38.3,11.6,4.1,4.7,2.5,-0.03487647
25/12/2023,31/12/2023,4,December,2023,977,0.4,38.3,11.6,4.1,4.7,2.5,-0.03487647
01/01/2024,07/01/2023,1,January,2024,978,0.53,43.6,16.93,2.95,4.7,1,0.797152523
08/01/2024,14/01/2024,2,January,2024,933,0.53,43.6,16.93,2.95,4.7,1,0.797152523
15/01/2024,21/01/2024,3,January,2024,857,0.53,43.6,16.93,2.95,4.7,1,0.797152523
22/01/2024,28/01/2024,4,January,2024,1091,0.53,43.6,16.93,2.95,4.7,1,0.797152523
29/01/2024,04/02/2024,1,February,2024,1100,0.53,43.6,16.93,2.95,4.8,1,0.479683381
05/02/2024,11/02/2024,2,February,2024,1153,0.53,43.6,16.93,2.95,4.8,1,0.479683381
12/02/2024,18/02/2024,3,February,2024,1002,0.53,43.6,16.93,2.95,4.8,1,0.479683381
19/02/2024,25/02/2024,4,February,2024,999,0.53,43.6,16.93,2.95,4.8,1,0.479683381
26/02/2024,03/03/2024,5,February,2024,1021,0.53,43.6,16.93,2.95,4.8,1,0.479683381
04/03/2024,10/03/2024,1,March,2024,1012,0.53,43.6,16.93,2.95,4.8,1,0.58282358
11/03/2024,17/03/2024,2,March,2024,1058,0.53,43.6,16.93,2.95,4.8,1,0.58282358
18/03/2024,24/03/2024,3,March,2024,1004,0.53,43.6,16.93,2.95,4.8,1,0.58282358
25/03/2024,31/03/2024,4,March,2024,989,0.53,43.6,16.93,2.95,4.8,1,0.58282358
01/04/2024,07/04/2024,1,April,2024,1007,0.53,43.6,16.93,2.95,4.4,1,-0.635574286
08/04/2024,14/04/2024,2,April,2024,1068,0.53,43.6,16.93,2.95,4.4,1,-0.635574286
15/04/2024,21/04/2024,3,April,2024,1054,0.53,43.6,16.93,2.95,4.4,1,-0.635574286
22/04/2024,28/04/2024,4,April,2024,1075,0.53,43.6,16.93,2.95,4.4,1,-0.635574286
29/04/2024,05/05/2024,1,May,2024,1088,0.53,43.6,16.93,2.95,4.8,1,0.414206065
06/05/2024,12/05/2024,2,May,2024,1112,0.53,43.6,16.93,2.95,4.8,1,0.414206065
13/05/2024,19/05/2024,3,May,2024,1130,0.53,43.6,16.93,2.95,4.8,1,0.414206065
20/05/2024,26/05/2024,4,May,2024,1263,0.53,43.6,16.93,2.95,4.8,1,0.414206065
27/05/2024,02/06/2024,5,May,2024,1240,0.53,43.6,16.93,2.95,4.8,1,0.414206065
03/06/2024,09/06/2024,1,June,2024,1192,0.53,43.6,16.93,2.95,4.9,1,-0.005819466
10/06/2024,16/06/2024,2,June,2024,1262,0.53,43.6,16.93,2.95,4.9,1,-0.005819466
17/06/2024,23/06/2024,3,June,2024,1370,0.53,43.6,16.93,2.95,4.9,1,-0.005819466
24/06/2024,30/06/2024,4,June,2024,1293,0.53,43.6,16.93,2.95,4.9,1,-0.005819466
01/07/2024,07/07/2024,1,July,2024,1339,0.53,43.6,16.93,2.95,5,1,0.628881297
08/07/2024,14/07/2024,2,July,2024,1339,0.53,43.6,16.93,2.95,5,1,0.628881297
15/07/2024,21/07/2024,3,July,2024,1338,0.53,43.6,16.93,2.95,5,1,0.628881297
22/07/2024,28/07/2024,4,July,2024,1415,0.53,43.6,16.93,2.95,5,1,0.628881297
29/07/2024,04/08/2024,1,August,2024,1395,0.53,43.6,16.93,2.95,5.3,1,0.226234338
05/08/2024,11/08/2024,2,August,2024,1258,0.53,43.6,16.93,2.95,5.3,1,0.226234338
12/08/2024,18/08/2024,3,August,2024,1189,0.53,43.6,16.93,2.95,5.3,1,0.226234338
19/08/2024,25/08/2024,4,August,2024,1276,0.53,43.6,16.93,2.95,5.3,1,0.226234338
26/08/2024,01/09/2024,5,August,2024,1240,0.53,43.6,16.93,2.95,5.3,1,0.226234338
02/09/2024,08/09/2024,1,September,2024,1274,0.53,43.6,16.93,2.95,5.8,1,0.463208538
09/09/2024,15/09/2024,2,September,2024,1204,0.53,43.6,16.93,2.95,5.8,1,0.463208538
16/09/2024,22/09/2024,3,September,2024,1180,0.53,43.6,16.93,2.95,5.8,1,0.463208538
23/09/2024,29/09/2024,4,September,2024,1156,0.53,43.6,16.93,2.95,5.8,1,0.463208538
